veri_id,veri_adi,grup_id,senaryo_aciklamasi
33,Meslek Lisesi Mezunu Sayısı,6,"""Meslek Lisesi Mezunu Sayısı"", bir ilde Milli Eğitim Bakanlığı'na bağlı olarak faaliyet gösteren Mesleki ve Teknik Anadolu Liseleri'ne (MTAL) kayıtlı olan toplam mezunu öğrenci sayısını ifade eden bir beşeri sermaye göstergesidir. Bu metrik, ilin sanayi ve üretim sektörlerinin ihtiyaç duyduğu, pratik becerilere sahip teknisyen ve ""ara eleman"" yetiştirme kapasitesinin en önemli göstergesidir. Yüksek bir öğrenci sayısı, o ilde imalat, makine, elektrik-elektronik, otomasyon ve benzeri teknik alanlarda gelecekte istihdam edilebilecek geniş ve genç bir yetenek havuzunun bulunduğuna işaret eder. Bu nedenle, özellikle ""Giga-Fabrika"" gibi büyük ölçekli üretim yatırımları için, üniversite mezunu mühendislerin yanı sıra üretimin bel kemiğini oluşturacak teknik işgücü arzının ne kadar güçlü olduğunu ölçmek için kritik bir öneme sahiptir."
34,Sanayi Derinliği Endeksi,2,"""Sanayi Derinliği Endeksi"", bir ilin ekonomisinin ne ölçüde imalat sanayine dayandığını ve sanayi ekosisteminin ne kadar geniş olduğunu ölçen kompozit bir göstergedir. Bu endeks, genellikle iki ana bileşenin birleştirilmesiyle oluşturulur: Birincisi, ilin toplam GSYİH'si içinde imalat sanayinin yarattığı katma değerin payı (ekonomik ağırlık); ikincisi ise ilde sanayi siciline kayıtlı toplam işletme sayısıdır (ekosistemin genişliği). Yüksek bir Sanayi Derinliği Endeksi, o ilin ekonomisinin lokomotifinin sanayi olduğunu, köklü bir üretim kültürüne, gelişmiş tedarik zinciri ağlarına ve sanayi alanında tecrübeli bir işgücüne sahip olduğunu gösterir. Bu durum, yeni endüstriyel yatırımlar için hem destekleyici bir iş ortamının varlığına hem de operasyonel kolaylıklara işaret eden en önemli yapısal göstergelerden biridir."
35,Arazi Maliyeti,7,"""Arazi Maliyeti"", bir ildeki sanayi ve ticari amaçlı arazi edinme maliyetlerinin ne kadar rekabetçi ve uygun olduğunu ölçen, maliyet odaklı bir fizibilite göstergesidir. Doğrudan sanayi arsası fiyatlarının 81 il için tutarlı bir şekilde bulunmasının zorluğu nedeniyle, bu metrik genellikle ilin genel emlak piyasası pahalılığını yansıtan konut metrekare fiyat endeksleri gibi güvenilir vekil (proxy) veriler kullanılarak hesaplanır. Yüksek bir skor, o ilde arazi maliyetlerinin yatırımcı için bir avantaj sunduğunu, projenin başlangıç sermaye ihtiyacını düşürdüğünü ve genel karlılığını artırdığını gösterir. Bu durum, özellikle Giga-Fabrika gibi geniş arazilere ihtiyaç duyan büyük ölçekli yatırımlar için en temel fizibilite kriterlerinden biri olarak kabul edilir."
36,Sismik Güvenlik Endeksi,13,"""Sismik Güvenlik Endeksi"", bir ilin coğrafi olarak ne kadar düşük deprem tehlikesi altında olduğunu ve sismik açıdan ne kadar güvenli bir yatırım bölgesi olduğunu ölçen bir risk göstergesidir. Bu endeks, AFAD'ın Türkiye Deprem Tehlike Haritası'nda belirtilen En Yüksek Yer İvmesi (PGA) değerlerine dayanır; düşük PGA değerlerine sahip, yani deprem riski az olan iller bu endekste en yüksek puanı alır. Yüksek bir Sismik Güvenlik Endeksi, o ilde yapılacak bir yatırımın deprem nedeniyle hasar görme veya faaliyetlerinin kesintiye uğrama riskinin düşük olduğunu gösterir. Bu durum, özellikle fabrika, enerji santrali gibi büyük ve sermaye-yoğun fiziksel yatırımlar için daha düşük sigorta maliyetleri, daha az yapısal mühendislik gereksinimi ve en önemlisi, uzun vadeli operasyonel sürdürülebilirlik ve can güvenliği anlamına gelir."
37,Güneşlenme Endeksi,4,"""Güneşlenme Endeksi"", bir ilin güneş enerjisi potansiyelini ölçen ve o bölgenin güneş enerjisine dayalı elektrik üretimi için ne kadar elverişli olduğunu gösteren bir iklim ve enerji göstergesidir. Bu endeks, genellikle iki temel veriden birine veya ikisinin birleşimine dayanır: Birincisi, ilin bir yıl boyunca aldığı toplam ""güneşlenme süresi"" (saat/yıl); ikincisi ise daha teknik bir ölçüt olan ve birim alana düşen toplam güneş enerjisi miktarını ifade eden ""küresel güneş radyasyonu""dur (kWh/m²-yıl). Yüksek bir Güneşlenme Endeksi, ilin güneş enerjisi santralleri (GES) kurmak için yüksek bir potansiyele sahip olduğunu, aynı büyüklükteki bir yatırımdan daha fazla elektrik üretebileceğini ve dolayısıyla yatırımın geri dönüş süresinin daha kısa olacağını gösterir. Bu nedenle, özellikle ""Yeşil Hidrojen"" gibi doğrudan yenilenebilir enerjiye dayalı sanayi senaryoları için en temel ve en kritik doğal kaynak göstergelerinden biridir."
38,Endüstriyel Hidrojen Talebi Skoru,2,"""Endüstriyel Hidrojen Talebi Skoru"", bir ilde, üretilecek yeşil hidrojen için potansiyel bir pazar oluşturan ve ""doğal alıcı"" (natural offtaker) olarak kabul edilen hidrojen-yoğun sanayi tesislerinin varlığını ve yoğunluğunu ölçen stratejik bir göstergedir. Bu skor, ildeki rafineri, amonyak/gübre, demir-çelik ve petrokimya gibi, mevcut üretim süreçlerinde büyük miktarlarda hidrojen tüketen veya gelecekteki karbonsuzlaşma hedefleri doğrultusunda tüketecek olan büyük sanayi kuruluşlarının sayısına ve ölçeğine dayanarak hesaplanır. Yüksek bir skor, o ilde kurulacak bir yeşil hidrojen üretim tesisinin, ürettiği hidrojeni hemen yanı başındaki tesislere satabileceği, böylece pazar ve lojistik riskini en aza indireceği anlamına gelir. Bu durum, ilin, yeni hidrojen ekonomisi için arz ve talebin bir arada bulunduğu, son derece fizibıl ve çekici bir yatırım bölgesi olduğunu gösterir."
39,Rüzgar Kapasitesi Endeksi,4,"""Rüzgar Kapasitesi Endeksi"", bir ilin rüzgar enerjisine dayalı elektrik üretimi için sahip olduğu potansiyelin kalitesini ve verimliliğini ölçen bir doğal kaynak ve enerji göstergesidir. Bu endeks, bir bölgeye kurulacak rüzgar türbininin bir yıl boyunca ne kadar verimli çalışacağını gösteren ve yatırımın karlılığını doğrudan belirleyen ""ortalama yıllık kapasite faktörü (%)"" verisini temel alır. Bunun yanı sıra, yerden 50 metre yükseklikteki ""ortalama rüzgar hızı (m/s)"" ve rüzgarın taşıdığı enerji miktarını ifade eden ""güç yoğunluğu (W/m²)"" gibi teknik verileri de içerir. Yüksek bir Rüzgar Kapasitesi Endeksi, ilin rüzgar enerjisi santralleri (RES) kurmak için hem teknik olarak uygun hem de ekonomik olarak karlı olduğunu gösterir. Bu durum, ilin, ""Yeşil Hidrojen"" üretimi gibi yenilenebilir enerjiye bağımlı büyük sanayi yatırımları için ideal bir konumda olduğunu ve sürdürülebilir enerji üretiminde önemli bir rekabet avantajına sahip olduğunu ifade eder."
40,Rekabetçi İşgücü Endeksi,8,"""Rekabetçi İşgücü Endeksi"", bir ildeki işgücü piyasasının yatırımcılar için ne kadar maliyet-etkin olduğunu ölçen bir ekonomik göstergedir. Doğrudan il bazında sanayi ücret verisi bulmanın zorluğu nedeniyle, bu endeks genellikle ilin Sosyo-Ekonomik Gelişmişlik (SEGE) skoru gibi, genel yaşam maliyeti ve ücret seviyeleriyle yüksek korelasyon gösteren vekil (proxy) verilere dayanır; daha düşük gelişmişlik seviyesi, genellikle daha rekabetçi bir işgücü maliyetine işaret eder. Yüksek bir skor, o ilde işgücü maliyetlerinin yatırımcı için bir rekabet avantajı sunduğunu, böylece işletmenin operasyonel giderlerini düşürerek genel karlılığını artırdığını gösterir. Bu metrik, ""Giga-Fabrika"" gibi emek-yoğun üretim tesisleri için yatırım kararını doğrudan etkilerken, ""Nitelikli İşgücü"" metrikleriyle birlikte değerlendirilerek ilin hem maliyet hem de yetenek açısından sunduğu toplam değerin anlaşılmasını sağlar."
41,Gelir Dağılımı Dengesi,5,"Gelir Dağılımı Dengesi"", bir ildeki toplam gelirin nüfusun farklı kesimleri arasında ne kadar adil ve dengeli bir şekilde paylaşıldığını ölçen bir sosyo-ekonomik istikrar göstergesidir. Bu endeks, genellikle uluslararası standartlarda gelir eşitsizliğini ölçmek için kullanılan ""Gini Katsayısı""nın tersine çevrilmesiyle oluşturulur. Gini katsayısı 0 (mükemmel eşitlik) ile 1 (mükemmel eşitsizlik) arasında bir değer alırken, bu endeks yüksek bir puanın daha adil bir gelir dağılımına, yani zengin ile fakir arasındaki farkın daha az olduğuna işaret etmesini sağlar. Yüksek bir denge skoru, ilde daha geniş ve güçlü bir orta sınıfın varlığına, daha yüksek bir toplumsal uyuma ve daha istikrarlı bir tüketici pazarına işaret eder. Bu durum, uzun vadeli yatırımlar için sosyal risklerin daha düşük olduğu, öngörülebilir bir ekonomik ortam olarak kabul edilir."
42,100B Kişi Başına Yatak Sayısı,9,"""100 Bin Kişi Başına Yatak Sayısı"", bir ilin sağlık altyapısının kapasitesini nüfusuna oranla ölçen standart bir halk sağlığı ve sosyal gelişmişlik göstergesidir. Bu metrik, ildeki devlet, üniversite ve özel sektöre ait tüm hastanelerdeki toplam yatak sayısının, ilin toplam nüfusuna bölünmesi ve ardından oranın 100.000 kişilik bir nüfusa göre standartlaştırılmasıyla hesaplanır. Yüksek bir değer, ilin sağlık hizmetlerine erişiminin kolay olduğunu, yeterli bir hastane kapasitesine sahip olduğunu ve genel olarak gelişmiş bir sosyal altyapı sunduğunu gösterir. Bu durum, ""Yaşam Kalitesi Endeksi""nin önemli bir bileşenidir ve özellikle nitelikli personeli ve ailelerini bölgeye çekmeyi hedefleyen yatırımlar için, ilin yaşanabilirlik seviyesini ve çekiciliğini artıran önemli bir faktör olarak değerlendirilir."
43,1M Kişi Başına Trafik Kazası Sayısı,9,"""1M Kişi Başına Trafik Kazası Sayısı"", bir ilde meydana gelen ve ölüm, yaralanma veya maddi hasarla sonuçlanan toplam trafik kazası sayısının, o ilin nüfusuna oranlanarak standartlaştırıldığı bir kamu güvenliği ve ulaşım altyapısı göstergesidir. Bu metrik, ildeki bir yıllık toplam kaza sayısının, o ilin toplam nüfusuna bölünmesi ve sonucun 1 milyon ile çarpılmasıyla hesaplanır; bu, farklı nüfus büyüklüklerine sahip iller arasında adil bir karşılaştırma yapılmasını sağlar. Yüksek bir kaza oranı, ildeki karayolu güvenliğinde, trafik yönetiminde veya altyapı kalitesinde sorunlara işaret eden negatif bir durumdur. Yatırımcılar için bu, hem çalışanların güvenliği hem de mal ve hizmetlerin taşındığı tedarik zincirinin güvenilirliği açısından artan bir operasyonel risk anlamına gelir ve aynı zamanda ilin genel yaşam kalitesini olumsuz etkileyen bir faktör olarak değerlendirilir."
44,Organik Bitkisel Üretim,3,"""Organik Bitkisel Üretim"", bir ilde, sentetik kimyasal gübre, pestisit ve genetiği değiştirilmiş organizmalar (GDO) kullanılmadan, ekolojik dengeyi gözeten ve yetkili kuruluşlarca sertifikalandırılmış tarım metotlarıyla yetiştirilen bitkisel ürünlerin toplam miktarını (ton) veya bu üretimin yapıldığı toplam alanı (dekar) ifade eder. Bu metrik, ilin geleneksel tarımın ötesinde, katma değeri yüksek, sürdürülebilir ve çevre dostu tarım uygulamalarına ne kadar adapte olduğunu gösterir. Yüksek bir organik üretim kapasitesi, o ilde hem bu alanda tecrübeli bir üretici kitlesinin varlığına hem de bu özel ürünler için oluşmuş bir pazar ve tedarik zinciri altyapısına işaret eder. Bu nedenle, ""Agri-Tech"" senaryosu için, ilin modern ve sürdürülebilir tarım teknolojilerini benimseme potansiyelini ve pazardaki sofistike seviyesini yansıtan önemli bir gösterge olarak kabul edilir."
45,Sanayi Elektrik Tüketimi,2,"""Sanayi Elektrik Tüketimi"", bir ildeki sanayi siciline kayıtlı işletmeler tarafından bir yıl içerisinde tüketilen toplam elektrik miktarını, genellikle Megawatt-saat (MWh) cinsinden ifade eden bir ekonomik faaliyet göstergesidir. Bu metrik, ildeki mevcut sanayinin üretim hacmi, kapasite kullanım oranı ve faaliyet yoğunluğu hakkında en doğrudan ve en güvenilir verilerden birini sunar. Yüksek bir tüketim değeri, o ilde büyük ölçekli ve enerji-yoğun bir sanayinin aktif olarak üretim yaptığına ve daha da önemlisi, bu talebi karşılayabilecek güçlü ve dayanıklı bir elektrik altyapısının bulunduğuna işaret eder. Bu nedenle, sadece sanayi işletmesi sayısına bakmak yerine, bu işletmelerin ne kadar ""çalıştığını"" gösteren bu veri, ilin fiili endüstriyel gücünü ve yeni, büyük bir tesisi destekleyebilme konusundaki kanıtlanmış altyapı yetkinliğini ölçmek için kullanılır."
46,Gübre Tüketimi,3,"""Gübre Tüketimi"", bir ildeki tarımsal faaliyetlerde bir yıl içerisinde kullanılan toplam kimyasal gübre miktarını, genellikle ton cinsinden ifade eden bir tarımsal girdi göstergesidir. Bu metrik, bölgedeki tarımın ne kadar yoğun (entansif) ve konvansiyonel yöntemlere dayalı olduğunun bir ölçüsüdür. Yüksek bir gübre tüketimi, ilde geniş ölçekli ve verim odaklı bir tarımsal üretimin yapıldığını, dolayısıyla tarımsal girdiler için büyük bir pazarın bulunduğunu gösterir. Aynı zamanda, ""Agri-Tech"" senaryosu açısından, bu yüksek kimyasal kullanımı, toprağı ve suyu daha az kirleten akıllı gübreleme teknolojileri, organik alternatifler ve verimlilik artırıcı çözümler için önemli bir dönüşüm ve pazar fırsatı olduğuna da işaret eder."
47,Verilen Yapı Ruhsatı Sayısı,7,"""Verilen Yapı Ruhsatı Sayısı"", bir ildeki belediyeler tarafından son beş yıllık dönemde yeni inşaat projeleri (konut, ticari, sanayi vb.) için onaylanan toplam yapı ruhsatı adedini ifade eden, geleceğe yönelik bir ekonomik aktivite ve yatırım güveni göstergesidir. Bu metrik, bölgedeki inşaat sektörünün canlılığını, yeni konut ve iş yeri talebini ve yatırımcıların ilin geleceğine dair beklentilerini yansıtır. Yüksek bir sayı, ilin fiziksel olarak büyüdüğüne, yeni yatırımlar çektiğine ve yakın gelecekte ekonomik faaliyetlerde bir artış beklendiğine dair güçlü bir sinyal verir. Bu nedenle, sadece mevcut ekonomik durumu değil, aynı zamanda gelecekteki büyüme potansiyelini ve piyasadaki genel dinamizmi ölçmek için önemli bir öncü gösterge olarak kabul edilir."
48,Ortalama Konut Satışı,7,"""Ortalama Konut Satışı"", bir ilde belirli bir zaman dilimi (genellikle aylık veya yıllık) içerisinde satılan toplam konut (daire, müstakil ev vb.) sayısını ifade eden bir ekonomik canlılık ve emlak piyasası göstergesidir. Bu metrik, ildeki konut talebinin, nüfus hareketliliğinin ve tüketici güveninin doğrudan bir ölçüsüdür. Yüksek bir satış adedi, ilin göç aldığını, yeni hanelerin kurulduğunu ve ekonominin canlı olduğunu gösterir; bu durum aynı zamanda inşaat ve ilgili hizmet sektörleri için de pozitif bir sinyaldir. Bu nedenle, bir ilin sadece sanayi veya tarım gibi üretim kapasitesini değil, aynı zamanda iç pazarının ne kadar dinamik olduğunu ve genel ekonomik sağlığının bir yansıması olan emlak piyasasının durumunu anlamak için kullanılır."
49,Nüfus Artış Skoru,1,"""Nüfus Artış Skoru"", bir ilin nüfusunun belirli bir dönemde (genellikle yıllık) ne kadar hızlı büyüdüğünü veya küçüldüğünü yüzde (%) olarak ifade eden bir demografik dinamizm göstergesidir. Bu skor, ildeki doğum ve ölüm oranları arasındaki fark olan ""doğal artış"" ile ilden aldığı ve ile verdiği göç arasındaki fark olan ""net göç""ün birleşiminden oluşur. Özellikle net göç, ilin ekonomik ve sosyal olarak ne kadar çekici olduğunun en önemli göstergelerinden biridir. Pozitif ve yüksek bir artış skoru, ilin iş imkanları yarattığına, göç aldığına ve dolayısıyla büyüyen bir işgücü arzı ile genişleyen bir tüketici pazarına sahip olduğuna işaret eder. Negatif bir skor ise, ilin göç verdiğini ve potansiyel olarak ekonomik durgunluk veya ""beyin göçü"" gibi yapısal sorunlarla karşı karşıya olabileceğini gösterir."
50,İş Gücüne Katılabilirlik Skoru,8,"""İş Gücüne Katılabilirlik Skoru"", bir ildeki çalışma çağındaki (genellikle 15 yaş ve üzeri) nüfusun ne kadarının ekonomik olarak aktif olduğunu, yani ya bir işte çalıştığını ya da aktif olarak iş aradığını gösteren temel bir işgücü piyasası göstergesidir. Bu oran, ildeki istihdam edilenler ile işsizlerin (aktif iş arayanlar) toplam sayısının, o ildeki çalışma çağındaki toplam nüfusa bölünmesiyle yüzde (%) olarak hesaplanır. Öğrenciler, ev hanımları, emekliler ve iş aramaktan vazgeçmiş olanlar bu oranın dışında kalır. Yüksek bir katılım skoru, ildeki işgücü piyasasının canlı ve dinamik olduğuna, insanların çalışmaya istekli olduğuna ve ekonomik fırsatların varlığına inandığına işaret eder. Düşük bir skor ise, potansiyel işgücünün bir kısmının ekonomik hayata dahil olamadığı, cesareti kırılmış çalışanların varlığı veya diğer yapısal sorunlar gibi daha derin ekonomik ve sosyal problemlere işaret edebilir."
51,65 Yaş Üstü Nüfus,1,"""65 Yaş Üstü Nüfus"", bir ilin toplam nüfusu içinde, Birleşmiş Milletler standartlarına göre ""yaşlı"" olarak kabul edilen 65 yaş ve üzerindeki bireylerin oranını yüzde (%) olarak ifade eden demografik bir yapı göstergesidir. Bu metrik, bir bölgenin nüfusunun ne kadar yaşlandığını ve ""yaşlı bağımlılık oranı""nı (çalışma çağındaki nüfusun bakmakla yükümlü olduğu yaşlı nüfus oranı) anlamak için kullanılır. Yüksek bir oran, uzun vadede potansiyel işgücü arzında azalma, sağlık ve sosyal güvenlik sistemleri üzerinde artan bir yük ve daha az dinamik bir tüketici pazarı gibi ekonomik zorluklara işaret edebilir. Bu nedenle, yatırımcılar için genellikle bölgenin gelecekteki işgücü sürdürülebilirliği ve pazar dinamizmi açısından bir risk faktörü olarak değerlendirilirken, düşük bir oran daha genç ve dinamik bir demografik yapıya işaret eder."
